TRANSTEXT 9.0
PRIMARY_LANGID 5
English Text	Translated Text	Item Type
"'Due' task colour"	"Barva úkolu s termínem „Včas“"	"checkbox"
"'Leaf' tasks"	"Koncové úkoly (bezdětné)"	"menu"
"'New Subtask' button places subtask"	"Tlačítko 'Nový podú&kol' umístí podúkol"	"label"
"'New Task' button places task"	"Tlačítko 'Nový ú&kol' umístí úkol"	"label"
"'Non-working hours' colour"	"Barva mimopracovní doby"	"checkbox"
"'Overlapping' tasks colour"	"Barva překrývajících se úkolů"	"checkbox"
"'Stack' comments above (or left of) edit fields"	"Zobrazit komentáře nad (nebo vlevo) od editačních polí"	"checkbox"
"'Stack' edit fields and comments when they occupy the same position (left, right or below)"	"Seskupit editační pole a komentáře, pokud jsou na stejné pozici (vlevo, vpravo nebo dole)"	"checkbox"
"'Started' task colour"	"Barva úkolu „Zahájeno“"	"checkbox"
"'Starts Today' task colour"	"Barva úkolu „Začíná dnes“"	"checkbox"
"'Today' colour"	"Barva „Dnes“"	"checkbox"
"'Weekend' colour"	"Barva „Víkend“"	"checkbox"
"'{0}' appears in {1} tasks"	"'{0}' se vyskytuje v {1} úkolech"	"tooltip"
"(Blanks)"	"(Prázdné)"	"listbox"
"(completed: %s)"	"(dokončeno: %s)"	"text"
"(more tasks not shown...)"	"(další úkoly nejsou zobrazeny...)"	"text"
"(Note: You should only use this option if you are certain that the incoming tasks will have the correct task IDs)"	"(Poznámka: Tuto možnost byste měli použít pouze tehdy, pokud jste si jisti, že příchozí úkoly budou mít správná ID)"	"label"
"(null)"	"(prázdné/null)"	"combobox"
"(paused)"	"(pozastaveno)"	"text"
"(Reduce visible date range)"	"(Zmenšit viditelné časové období)"	"combobox"
"(Relative)"	"(Relativní)"	"text"
"(Select All)"	"(Vybrat vše)"	"listbox"
"(untitled)"	"(bez názvu)"	"text"
"(Week {0})"	"(Týden {0})"	"label"
"(Weeks {0}-{1})"	"(Týdny {0}-{1})"	"label"
"- Fixed Columns -"	"- Pevné sloupce -"	"combobox"
"- unnamed -"	"- beze jména -"	"text"
"-ab <alloc by>\tSets the 'Allocated By' for the currently selected task"	"-ab <zadal>\tNastaví hodnotu 'Zadal' pro aktuálně vybraný úkol"	"text"
"-at <alloc to>\tSets the 'Allocated To' for the currently selected task"	"-at <komu>\tNastaví hodnotu 'Přiřazeno komu' pro aktuálně vybraný úkol"	"text"
"-bid <task id>\tSpecifies the sibling task below which to create the new task"	"-bid <id úkolu>\tUrčí sourozenecký úkol, pod kterým se má vytvořit nový úkol"	"text"
"-c <categories>\tSets the 'Categories' for the currently selected task"	"-c <kategorie>\tNastaví 'Kategorie' pro aktuálně vybraný úkol"	"text"
"-ca <attribute id> <attribute value>\tSets the value for the specified custom attribute ID for the currently selected task"	"-ca <id atributu> <hodnota>\tNastaví hodnotu zadaného vlastního atributu pro aktuálně vybraný úkol"	"text"
"-cd <date>\tSets the 'Completion Date' for the currently selected task"	"-cd <datum>\tNastaví 'Datum dokončení' pro aktuálně vybraný úkol"	"text"
"-cm <comments>\tAdds to the 'Comments' for the currently selected task"	"-cm <komentáře>\tPřidá text do 'Komentářů' pro aktuálně vybraný úkol"	"text"
"-cmd <id>\tSends the specified command to ToDoList's main window"	"-cmd <id>\tOdešle zadaný příkaz do hlavního okna ToDoListu"	"text"
"-copy <attrib1> <attrib2>\tCopies the value for 'attrib1' to 'attrib2' for the currently selected task"	"-copy <atribut1> <atribut2>\tZkopíruje hodnotu z 'atributu1' do 'atributu2' u aktuálně vybraného úkolu"	"text"
"-cs <cost>\tSets the 'Cost' for the currently selected task"	"-cs <náklady>\tNastaví 'Náklady' pro aktuálně vybraný úkol"	"text"
"-ct <time>\tSets the 'Completion Time' for the currently selected task"	"-ct <čas>\tNastaví 'Čas dokončení' pro aktuálně vybraný úkol"	"text"
"-dd <date>\tSets the 'Due Date' for the currently selected task"	"-dd <datum>\tNastaví 'Termín (datum)' pro aktuálně vybraný úkol"	"text"
"-dp <id>\tSets the 'Dependencies' for the currently selected task"	"-dp <id>\tNastaví 'Závislosti' pro aktuálně vybraný úkol"	"text"
"-dt <time>\tSets the 'Due Time' for the currently selected task"	"-dt <čas>\tNastaví 'Termín (čas)' pro aktuálně vybraný úkol"	"text"
"-e\tStarts ToDoList without reloading any previously open tasklists"	"-e\tSpustí ToDoList bez načtení dříve otevřených seznamů úkolů"	"text"
"-f <filepath2>[|<filepath3>|<filepath4>]\tAllows additional tasklists to be opened"	"-f <cesta2>[|<cesta3>|<cesta4>]\tUmožňuje otevřít další seznamy úkolů"	"text"
"-fr <path>\tSets the 'File Link' for the currently selected task"	"-fr <cesta>\tNastaví 'Odkaz na soubor' pro aktuálně vybraný úkol"	"text"
"-g\tEnables logging"	"-g\tPovolí protokolování (logování)"	"text"
"-h, -help, -?\tDisplays a message box showing all the available commandline options"	"-h, -help, -?\tZobrazí okno se všemi dostupnými parametry příkazové řádky"	"text"
"-i <inipath>\tSpecifies an alternative settings file path"	"-i <cesta k ini>\tUrčí cestu k alternativnímu souboru s nastavením"	"text"
"-ic <icon name/number>\tSets the 'Icon' for the currently selected task"	"-ic <název/číslo ikony>\tNastaví 'Ikonu' pro aktuálně vybraný úkol"	"text"
"-l <task link>\tOpens the specified tasklist and selects the specified task"	"-l <odkaz na úkol>\tOtevře zadaný seznam a vybere konkrétní úkol"	"text"
"-m <filepath>\tImports the specified file"	"-m <cesta k souboru>\tImportuje zadaný soubor"	"text"
"-md <date>\tSets the 'Creation Date' of the newly created task"	"-md <datum>\tNastaví 'Datum vytvoření' nového úkolu"	"text"
"-mp\tUses the password of the first decrypted tasklist as a master password for decrypting subsequent tasklists. Requires password prompting to be turned off (-x)"	"-mp\tPoužije heslo prvního dešifrovaného seznamu jako hlavní heslo pro ostatní. Vyžaduje vypnuté dotazy na heslo (-x)"	"text"
"-mt <time>\tSets the 'Creation Time' of the newly created task"	"-mt <čas>\tNastaví 'Čas vytvoření' nového úkolu"	"text"
"-nt <title>\tCreates a new task in the active tasklist with the specified title"	"-nt <název>\tVytvoří v aktivním seznamu nový úkol se zadaným názvem"	"text"
"-p <priority>\tSets the 'Priority' for the currently selected task"	"-p <priorita>\tNastaví 'Prioritu' pro aktuálně vybraný úkol"	"text"
"-pc <percentage>\tSets the 'Percentage Completion' for the currently selected task"	"-pc <procento>\tNastaví 'Procento hotovo' pro aktuálně vybraný úkol"	"text"
"-pid <task id>\tSpecifies the parent task in which to create the new task"	"-pid <id úkolu>\tUrčí nadřazený úkol, do kterého se má vytvořit nový úkol"	"text"
"-r <risk>\tSets the 'Risk' for the currently selected task"	"-r <riziko>\tNastaví 'Riziko' pro aktuálně vybraný úkol"	"text"
"-s <status>\tSets the 'Status' for the currently selected task"	"-s <stav>\tNastaví 'Stav' pro aktuálně vybraný úkol"	"text"
"-sd <date>\tSets the 'Start Date' for the currently selected task"	"-sd <datum>\tNastaví 'Datum zahájení' pro aktuálně vybraný úkol"	"text"
"-st <time>\tSets the 'Start Time' for the currently selected task"	"-st <čas>\tNastaví 'Čas zahájení' pro aktuálně vybraný úkol"	"text"
"-te <hrs>\tSets the 'Time Estimate' for the currently selected task"	"-te <hod>\tNastaví 'Odhad času' (v hodinách) pro aktuálně vybraný úkol"	"text"
"-tg <tags>\tSets the 'Tags' for the currently selected task"	"-tg <štítky>\tNastaví 'Štítky' pro aktuálně vybraný úkol"	"text"
"-tid <task id>\tSelects the specified task in the active tasklist"	"-tid <id úkolu>\tVybere zadaný úkol v aktivním seznamu"	"text"
"-tp <prefix>\tApplies a prefix to the application title"	"-tp <prefix>\tPřidá předponu k názvu aplikace"	"text"
"-ts <hrs>\tSets the 'Time Spent' for the currently selected task"	"-ts <hod>\tNastaví 'Strávený čas' (v hodinách) pro aktuálně vybraný úkol"	"text"
"-tt <title>\tSets the 'Title' for the currently selected task"	"-tt <název>\tNastaví 'Název' pro aktuálně vybraný úkol"	"text"
"-tv <version>\tSets the 'Version' for the currently selected task"	"-tv <verze>\tNastaví 'Verzi' pro aktuálně vybraný úkol"	"text"
"-v\tForces ToDoList to startup visible regardless of its last saved state"	"-v\tVynutí zobrazení okna ToDoListu při startu bez ohledu na poslední stav"	"text"
"-x\tTurns off password prompting except when first loading an encrypted tasklist"	"-x\tVypne dotazy na heslo kromě prvního načtení šifrovaného seznamu"	"text"
"-xid <ext_id>\tSets the 'external ID' for the currently selected task"	"-xid <ext_id>\tNastaví 'Externí ID' pro aktuálně vybraný úkol"	"text"
"-z\tStores attribute visibility settings within each tasklist"	"-z\tUloží nastavení viditelnosti atributů přímo do každého seznamu"	"text"
"...maps to Column Name in File"	"...mapovat na název sloupce v souboru"	"sysheader32"
"...maps to Task Attribute"	"…mapovat na atribut úkolu"	"sysheader32"
"0 (Lowest)"	"0 (Nejnižší)"	"combobox"
  "0 (Lowest)"	"&0 (Nejnižší)"	"menu"
"0 (zero) is not a valid task ID"	"0 (nula) není platné ID úkolu"	"text"
"0 minutes"	"0 minut"	"combobox"
"1 (Low)"	"1 (Nízká)"	"combobox"
  "1 (Low)"	"&1 (Nízká)"	"menu"
"1 (Very Low)"	"1 (Velmi nízká)"	"combobox"
  "1 (Very Low)"	""	"menu"
"1 : 8  points"	"1 : 8 bodů"	"combobox"
"1 minute"	"1 minuta"	"combobox"
"1 month"	"1 měsíc"	"combobox"
"1 space"	"1 mezera"	"combobox"
"1 task selected (%d)"	"1 vybraný úkol (%d)"	"text"
"1 Week"	"&1 Týden"	"combobox"
"1. Where do you want ToDoList to store your program settings ?"	"1. Kam chcete, aby ToDoList ukládal nastavení programu?"	"label"
"1st attribute"	"1. atribut"	"label"
"1st subtask level"	"1. úroveň podúkolů"	"menu"
"2 (Low)"	"2 (Nízká)"	"combobox"
  "2 (Low)"	"&2 (Nízká)"	"menu"
"2 : 10 points"	"2 : 10 bodů"	"combobox"
"2 days"	"2 dny"	"combobox"
"2 hours"	"2 hodiny"	"combobox"
"2 minutes"	"2 minuty"	"combobox"
"2 months"	"2 měsíce"	"combobox"
"2 spaces"	"2 mezery"	"combobox"
"2 Weeks"	"&2 Týdny"	"combobox"
"2 weeks"	"2 týdny"	"combobox"
"2. Do you want to be able to share your tasklists on a network ?"	"2. Chcete mít možnost sdílet své seznamy úkolů v síti?"	"label"
"2nd attribute"	"2. atribut"	"radiobutton"
"2nd subtask level"	"2. úroveň podúkolů"	"menu"
"3 (Low)"	"3 (Nízká)"	"combobox"
  "3 (Low)"	"&3 (Nízká)"	"menu"
"3 (Low-Med)"	"3 (Středně nízká)"	"combobox"
  "3 (Low-Med)"	""	"menu"
"3 : 12 points"	"3 : 12 bodů"	"combobox"
"3 days"	"3 dny"	"combobox"
"3 hours"	"3 hodiny"	"combobox"
"3 months"	"3 měsíce"	"combobox"
"3 weeks"	"3 týdny"	"combobox"
"3 Weeks"	"&3 Týdny"	"combobox"
"3. Which columns do you initially want to see ?\n\nNote: You can modify this choice later using  'View > Select Columns'"	"3. Které sloupce chcete zpočátku vidět?\n\nPoznámka: Tuto volbu můžete později změnit přes 'Zobrazení > Vybrat sloupce'"	"label"
"3rd Party Storage"	"Úložiště třetí strany"	"menu"
"3rd Party Storage %d"	"Externí úložiště %d"	"menu"
"3rd subtask level"	"3. úroveň podúkolů"	"menu"
"4 (Medium)"	"4 (Střední)"	"combobox"
  "4 (Medium)"	"&4 (Střední)"	"menu"
"4 : 14 points"	"4 : 14 bodů"	"combobox"
"4 days"	"4 dny"	"combobox"
"4 hours"	"4 hodiny"	"combobox"
"4 months"	"4 měsíce"	"combobox"
"4 spaces"	"4 mezery"	"combobox"
"4 weeks"	"4 týdny"	"combobox"
"4 Weeks"	"&4 Týdny"	"combobox"
"4. Do you want to keep the user interface as simple as possible ?"	"4. Chcete, aby uživatelské rozhraní bylo co nejjednodušší?"	"label"
"4th subtask level"	"4. úroveň podúkolů"	"menu"
"5 (Medium)"	"5 (Střední)"	"combobox"
  "5 (Medium)"	"&5 (Střední)"	"menu"
"5 : 18 points"	"5 : 18 bodů"	"combobox"
"5 days"	"5 dní"	"combobox"
"5 hours"	"5 hodin"	"combobox"
"5 minutes"	"5 minut"	"combobox"
"5 months"	"5 měsíců"	"combobox"
"5 pt"	"5 pt"	"combobox"
"5 Weeks"	"&5 Týdny"	"combobox"
"5. Do you want to view a sample tasklist to help you get started ?"	"5. Chcete zobrazit ukázkový seznam úkolů pro usnadnění začátků?"	"label"
"5th subtask level"	"5. úroveň podúkolů"	"menu"
"6 (Medium)"	"6 (Střední)"	"combobox"
  "6 (Medium)"	"&6 (Střední)"	"menu"
"6 : 24 points"	"6 : 24 bodů"	"combobox"
"6 days"	"6 dní"	"combobox"
"6 hours"	"6 hodin"	"combobox"
"6 months"	"6 měsíců"	"combobox"
"6 pt"	"6 pt"	"combobox"
"6 Weeks"	"&6 Týdny"	"combobox"
"6th subtask level"	"6. úroveň podúkolů"	"menu"
"7 (High)"	"7 (Vysoká)"	"combobox"
  "7 (High)"	"&7 (Vysoká)"	"menu"
"7 (Med-High)"	"7 (Středně vysoká)"	"combobox"
  "7 (Med-High)"	""	"menu"
"7 : 36 points"	"7 : 36 bodů"	"combobox"
"7 Day Rolling Average"	"Klouzavý průměr za 7 dní"	"combobox"
"7 days / 1 week"	"7 dní / 1 týden"	"combobox"
"7 pt"	"7 pt"	"combobox"
"7 Weeks"	"&7 Týdny"	"combobox"
"7th subtask level"	"7. úroveň podúkolů"	"menu"
"8 (High)"	"8 (Vysoká)"	"combobox"
  "8 (High)"	"&8 (Vysoká)"	"menu"
"8 pt"	"8 pt"	"combobox"
"8 spaces"	"8 mezer"	"combobox"
"8 Weeks"	"&8 Týdnů"	"combobox"
"8th subtask level"	"8. úroveň podúkolů"	"menu"
"9 (High)"	"9 (Vysoká)"	"combobox"
  "9 (High)"	"&9 (Vysoká)"	"menu"
"9 (Very High)"	"9 (Velmi vysoká)"	"combobox"
  "9 (Very High)"	""	"menu"
"9 months"	"9 měsíců"	"combobox"
"9 pt"	"9 pt"	"combobox"
"9 Weeks"	"&9 Týdnů"	"combobox"
"9th subtask level"	"9. úroveň podúkolů"	"menu"
"10 (Highest)"	"10 (Nejvyšší)"	"combobox"
  "10 (Highest)"	"10 (&Nejvyšší)"	"menu"
"10 minutes"	"10 minut"	"combobox"
"10 pt"	"10 pt"	"combobox"
"10 seconds"	"10 sekund"	"combobox"
"11 pt"	"11 pt"	"combobox"
"12 hours"	"12 hodin"	"combobox"
"12 months / 1 year"	"12 měsíců / 1 rok"	"combobox"
"12 pt"	"12 pt"	"combobox"
"14 pt"	"14 pt"	"combobox"
"15 minutes"	"15 minut"	"combobox"
"16 pt"	"16 pt"	"combobox"
"18 pt"	"18 pt"	"combobox"
"20 minutes"	"20 minut"	"combobox"
"20 pt"	"20 pt"	"combobox"
"20 seconds"	"20 sekund"	"combobox"
"24 hours / 1 day"	"24 hodin / 1 den"	"combobox"
"30 Day Rolling Average"	"Klouzavý průměr za 30 dní"	"combobox"
"30 minutes"	"30 minut"	"combobox"
"30 seconds"	"30 sekund"	"combobox"
"45 minutes"	"45 minut"	"combobox"
"60 minutes"	"60 minut"	"combobox"
"60 minutes / 1 hour"	"60 minut / 1 hodina"	"combobox"
"60 seconds"	"60 sekund"	"combobox"
"90 Day Rolling Average"	"Klouzavý průměr za 90 dní"	"combobox"
"120 seconds"	"120 sekund"	"combobox"
"< Back"	"< Zpět"	"button"
"<%d tasks selected>"	"<%d vybraných úkolů>"	"text"
"<any date>"	"<libovolné datum>"	"text"
"<any>"	"<libovolné>"	"combobox"
"<anyone>"	"<kdokoliv>"	"text"
"<existing custom attribute>"	"<stávající vlastní atribut>"	"combobox"
"<filepath>\tOpens/selects the specified tasklist"	"<cesta k souboru>\tOtevře/vybere zadaný seznam úkolů"	"text"
"<Group End>"	"<Konec skupiny>"	"combobox"
"<Group Start>"	"<Začátek skupiny>"	"combobox"
"<handler not installed>"	"<obsluha není nainstalována>"	"label"
"<multiple formats>"	"<více formátů>"	"text"
"<multiple tasklists>"	"<více seznamů úkolů>"	"combobox"
"<multiple tasks>"	"<více úkolů>"	"label"
"<new allocation>"	"<Nové přiřazení>"	"text"
"<new button>"	"<Nové tlačítko>"	"text"
"<New Column>"	"<Nový sloupec>"	"text"
"<new custom attribute>"	"<Vlastní atribut>"	"combobox"
"<new custom list attribute>"	"<Vlastní atribut (seznam)>"	"combobox"
"<new dependency>"	"<nová závislost>"	"text"
"<new rule>"	"<Nové pravidlo>"	"text"
"<no date>"	"<bez data>"	"text"
"<no sound>"	"<beze zvuku>"	"text"
"<no task selected>"	"<není vybrán žádný úkol>"	"text"
"<nobody>"	"<Nikdo>"	"text"
"<none>"	"<—>"	"combobox"
  "<none>"	"<—>"	"menu"
"<optional>"	"<volitelné>"	"text"
"<separator>"	"<Oddělovač>"	"text"
"<specific date>"	"<konkrétní datum>"	"text"
"<specific dates>"	"<konkrétní data>"	"combobox"
"<Tasklist Attached>"	"<Přiložený seznam úkolů>"	"text"
"<today>"	"<dnes>"	"combobox"
"<unknown format>"	"<neznámý formát>"	"combobox"
"<value varies>"	"<hodnota se liší>"	"text"
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(POZOR: Jeden nebo více z těchto úkolů má podúkoly, které budou také smazány)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(POZOR: Tento úkol má podúkoly, které budou také smazány)"	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	"\n\nChcete vynutit uzamčení (Checkout) seznamu úkolů?\n\nPoznámka: Jakákoliv neuložená data z '%s' budou ztracena!"	"text"
"A connection already exists between the two selected tasks"	"Mezi těmito dvěma úkoly již závislost existuje"	"text"
"A connection to '%s' could not be established.\n\nWould you like to check your details and try again?"	"Spojení s '%s' se nepodařilo navázat.\n\nChcete zkontrolovat údaje a zkusit to znovu?"	"text"
"a screensaver is running or the desktop is locked"	"běží spořič obrazovky nebo je plocha uzamčena"	"checkbox"
"A simple and effective way to keep on top of your daily tasks"	"Jednoduchý a efektivní způsob, jak mít přehled o svých každodenních úkolech"	"label"
"A task with an ID of '%d' could not be found in the active tasklist"	"Úkol s ID '%d' nebyl v aktivním seznamu nalezen"	"text"
"About"	"O aplikaci"	"dialog"
"About ToDoList"	"&O programu ToDoList"	"menu"
"About..."	"O aplikaci..."	"menu"
"Above Priority"	"&Priorita nad"	"label"
"Above Risk"	"&Riziko nad"	"label"
"Above selected task"	"Nad vybraný úkol"	"combobox"
"Above Task"	"Pře&d úkol"	"menu"
"Accumulated"	"Nashromážděno"	"combobox"
"Activate Filter"	"Aktivovat filtr"	"menu"
"Activate Task View"	"Aktivovat zobrazení úkolů"	"menu"
"Active Date Range (%s)"	"Aktivní časové období (%s)"	"label"
"Active Dictionary"	"Ak&tivní slovník"	"label"
"Active Keyboard Shortcuts"	"Aktivní klávesové zkratky"	"dialog"
"Active tasklist"	"Aktivní seznam úkolů"	"radiobutton"
"Active Tasklist"	"&Aktuální seznam úkolů"	"menu"
"Active tasklist only"	"Pouze aktivní seznam úkolů"	"radiobutton"
"Active Tasks"	"Aktivní úkoly"	"text"
"Actual Work"	"Skutečná práce"	"text"
"Add"	"Přidat"	"combobox"
"Add Dependency"	"Přidat závislost"	"tooltip"
"Add dividing line"	"Přidat dělicí čáru"	"checkbox"
"Add Rule"	"Přidat pravidlo"	"tooltip"
"Add Task Dependency"	"Přidat závislost úkolu"	"menu"
"Add Task File Link..."	"Nastavit &odkaz na soubor úkolu"	"menu"
"Add Tasklist to Source Control"	"Přidat seznam úkolů do správy verzí"	"menu"
"Add Time to Task Log File"	"&Přidat čas do souboru protokolu"	"menu"
"Add Tracked Time"	"Přidat sledovaný čas"	"tooltip"
"Adjust allocations equally"	"Upravit přiřazení rovnoměrně"	"radiobutton"
"Adjust allocations in proportion to their existing values"	"Upravit přiřazení poměrně k jejich stávajícím hodnotám"	"radiobutton"
"Adjust Task % Completion to match today's date"	"Upravit % hotovo úkolu podle dnešního data"	"menu"
"Adjusted"	"Upraveno"	"text"
"After completing a task, set its 'Status' to"	"Po dokončení úkolu nastavit jeho 'Stav' na"	"checkbox"
"After Loading a Tasklist"	"Po načtení seznamu úkolů"	"label"
"After selected task"	"Za vybraný úkol"	"combobox"
"Aggregate cost for the selected tasks"	"Souhrnné náklady pro vybrané úkoly"	"text"
"Aggregate time estimate for the selected tasks"	"Souhrnný odhad času pro vybrané úkoly"	"text"
"Aggregate time spent on the selected tasks"	"Souhrnný strávený čas na vybraných úkolech"	"text"
"Alignment"	"zarovnání"	"sysheader32"
  "Alignment"	"zarovnání"	"label"
"Alignment on page"	"Zarovnání na stránce"	"label"
"All"	"Vše"	"combobox"
"All attributes"	"&Všechny atributy"	"radiobutton"
"All attributes, including"	"Všechny atributy, včetně"	"radiobutton"
"All Borders"	"Všechna ohraničení"	"tooltip"
"All Columns"	"Všechny sloupce"	"menu"
"All Files"	"Všechny soubory"	"combobox"
"All Files (*.*)"	"Všechny soubory (*.*)"	"combobox"
"All Files (*.*)|*.*||"	"Všechny soubory (*.*)|*.*||"	"text"
"all open tasklists"	"všechny otevřené seznamy úkolů"	"combobox"
"All open tasklists"	"Všechny otevřené seznamy úkolů"	"combobox"
"All Rows"	"Všechny řádky"	"menu"
